coursecode,coursename,gsc,credits,tag,crn,avail_seats,max_seats,time,day,location,instructor,notes
BI 132,Intro Animal Behavior,3,4.00 cr.,+ Dis,10950,0,22,1500-1550,t,130 HUE,Schlenoff D,a
ARTC 590,Iss & Prac in Ceramics,,3.00 cr.,,16885,7,15,1200-1450,r,105B ART,Gillis B,$AM
EC 101,Contemp Econ Issues,2,4.00 cr.,+ Dis,11861,0,40,1100-1150,f,262 LIL,tba,
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12250,0,10,0900-0950,t,192 ANS,Cronce J,M
EC 421,Intro Econometrics,,4.00 cr.,+ Lab,11927,0,32,1600-1720,m,442 MCK,tba,
GER 609,Practicum,,1.00-16.00 cr.,,12689,10,10,tba,tba,tba,STAFF,
CH 237,Adv Gen Chemistry Lab,,2.00 cr.,+ Lab,11321,10,10,1600-1850,r,169 ONY,Nell B,A
CFT 616,Systems Theory Found,,3.00 cr.,,11250,28,30,0900-1150,w,116 ED,Brown T,M
HPHY 212,Evid| Infer| & Biostat,,4.00 cr.,+ Dis,12871,5,20,1000-1050,w,B012 ONY,tba,B
ENVS 601,Research,,1.00-16.00 cr.,,12198,30,30,tba,tba,tba,STAFF,
BI 488,Evolutionary Processes,,4.00 cr.,,11106,6,20,1600-1720,mw,199 ESL,Streisfeld M,!M
FHS 406,Sp Pr Fld St Erly Chld,,1.00-12.00 cr.,,12249,8,20,tba,tba,tba,tba,!$M
FHS 407,Sem Sex Well Team I,,2.00 cr.,,12254,20,20,1800-2050,w,240A MCK,Leeder A,
CIS 210,Computer Science I,4,4.00 cr.,+ Lab,11544,0,20,1500-1550,w,026 KLA,tba,
FIN 311,Ec Found Compet Analy,,4.00 cr.,,12355,56,75,0800-0950,tr,211 LIL,Ellis J,AMbY
BI 405,Reading,,1.00-16.00 cr.,,11083,10,10,tba,tba,tba,STAFF,
CIS 604,Internship,,1.00-4.00 cr.,,11604,15,15,tba,tba,tba,STAFF,
ENG 301,Found Eng Mjr: Context,1,4.00 cr.,Lecture,17118,68,117,1000-1120,tr,101 LLCS,Ginsberg W,CM
GER 409,Practicum,,1.00-4.00 cr.,,12677,10,10,tba,tba,tba,STAFF,
ARCH 470,Building Construction,,4.00 cr.,+ Lab,10424,2,16,1730-1920,r,104 PAC,tba,M
CIS 313,Interm Data Structures,,4.00 cr.,Lecture,11551,17,85,1000-1050,mwf,208 DEA,Wu X,!
GEOG 142,Human Geography,2 IC,4.00 cr.,+ Dis,12472,20,24,0900-0950,w,106 CON,tba,U
HIST 605,Reading,,1.00-9.00 cr.,,12852,25,25,tba,tba,tba,STAFF,
INTL 401,Research,,1.00-12.00 cr.,,13073,10,10,tba,tba,tba,STAFF,
FHS 407,Sem Global Citizenship,,2.00 cr.,,12273,20,20,1700-1850,w,192 ANS,Subramani S,
CH 607,Sem Inorg/Org Chem,,1.00 cr.,,11435,56,56,1400-1530,f,331 KLA,Page C,k
CAS 110,Hum Col Scholar Colloq,,1.00 cr.,,11199,28,30,1400-1450,w,121 MCK,Bovilsky L,!s
IARC 401,Research,,1.00-6.00 cr.,,13004,10,10,tba,tba,tba,STAFF,
CH 511,Physical Chemistry,,4.00 cr.,,11392,5,5,0900-0950,mw,123 PAC,Guenza M,
BA 404,Internship,,1.00 cr.,,10911,10,10,tba,tba,tba,Coe J,
BI 601,Res Intestinal Reg,,1.00-16.00 cr.,,11171,10,10,tba,tba,tba,Powell A,
DANC 372,Ballet III,,1.00 cr.,,11837,29,35,1400-1530,mw,354 GRX,Garner B,!$Aa
BI 353,Sensory Physiology,,4.00 cr.,+ Dis,16400,6,20,1200-1250,f,129 HUE,tba,a
FLR 405,Reading,,1.00-6.00 cr.,,12401,10,10,tba,tba,tba,STAFF,
CRES 610,Small Claims Med Clin,,4.00 cr.,,11720,4,4,0830-1250,m,TBA TBA,Nobel B,M
ARTF 609,Term Creativ Proj MFA,,1.00-12.00 cr.,,10731,10,10,tba,tba,tba,STAFF,$
ES 409,Practicum,,1.00-5.00 cr.,,12227,20,20,tba,tba,tba,STAFF,!M
BI 601,Res Devel Genetics,,1.00-16.00 cr.,,11129,10,10,tba,tba,tba,Bowerman B,
ARH 315,Hist of World Arch II,1,4.00 cr.,+ Dis,16217,22,25,1800-1850,t,241 LA,tba,
AAD 251,Arts & Visual Literacy,1 IP,4.00 cr.,,10054,0,80,0800-0950,mw,245 STB,Gurley G,
BI 401,Res Drosophila Physiol,,1.00-16.00 cr.,,11056,10,10,tba,tba,tba,Johnson E,
ITAL 301,L'Italia contemporanea,1 IC,4.00 cr.,,13119,7,20,1200-1320,mw,102 PETR,Ceccacci N,!A
CHN 607,Sem Lu Xun,,4.00 cr.,,11497,10,15,1600-1850,r,45 COL,Chan R,
BE 609,Practicum,,1.00-16.00 cr.,,10925,20,20,tba,tba,tba,STAFF,p
BI 601,Res Evolution of Devel,,1.00-16.00 cr.,,11163,10,10,tba,,OIMB,Maslakova S,
GER 407,Sem Fairy Tales,,4.00 cr.,,12676,28,36,1800-1920,mw,106 FR,Ostmeier D,K
AEIS 110,Intro Academic Writing,,4.00 cr.,,10176,18,18,1400-1550,tr,248 PLC,McMinn K,!Aa
CIS 111,Intro Web Programming,4,4.00 cr.,+ Lab,11527,14,28,1500-1550,m,026 KLA,tba,
ARH 343,Northern Renaiss Art,,4.00 cr.,,16953,17,45,1200-1250,mwf,166 LA,Harper J,
BI 601,Res Develop Patterning,,1.00-16.00 cr.,,11135,10,10,tba,tba,tba,Kimmel C,
AAD 312,Arts Management,,4.00 cr.,,10061,16,40,1000-1150,mw,140 ALL,Redaelli E,
AEIS 107,Read Academ Discourse,,4.00 cr.,,10157,16,22,1000-1150,tr,101 VOL,tba,!Aa
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11883,33,48,0900-0950,f,162 LIL,tba,
CH 237,Adv Gen Chemistry Lab,,2.00 cr.,+ Lab,11319,9,10,0900-1150,r,169 ONY,Nell B,A
CRWR 607,Sem Fiction Writing,,5.00 cr.,,11746,14,15,1400-1650,t,206 FR,Brown J,Ab
FR 301,France Contemporaine,1 IC,4.00 cr.,,12443,0,16,1100-1150,mwf,193 ESL,Poizat-Newcomb G,!A
ANTH 531,Plants and People,,4.00 cr.,,16387,3,5,1530-1650,mw,229 MCK,Gallagher D,
BI 132,Intro Animal Behavior,3,4.00 cr.,+ Dis,10945,20,25,1000-1050,t,130 HUE,Schlenoff D,aU
CIS 451,Data-Base Processing,,4.00 cr.,,11586,8,35,1000-1050,mwf,110 WIL,Wilson C,!
ENVS 225,Intro to Food Studies,2 IC,4.00 cr.,+ Dis,12175,10,20,1400-1450,f,193 ESL,tba,
FHS 327,Organiz Iss Hum Serv,,4.00 cr.,,12237,23,35,tba,,WEB,Pribble L,!MW
DANC 272,Ballet II,,1.00 cr.,,11835,28,35,1500-1550,tr,353 GRX,tba,!$Aa
CPSY 609,Prac Bilingual Supervn,,1.00 cr.,,11699,5,8,1200-1250,f,244 HED,McWhirter B,M
CH 337,Organic Chemistry Lab,,3.00 cr.,Lecture,11323,25,286,1200-1250,mw,150 COL,Koscho M,!$A
ACTG 470,Intro Federal Taxation,,4.00 cr.,,10121,0,44,1200-1350,mw,312 LIL,Roth C,AM
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12158,17,22,1300-1350,f,142 COL,tba,AU
FHS 409,Prac Serv Lrng Soc Jst,,2.00 cr.,,12286,40,40,1000-1120,r,TBA,Belcher D,$U
INTL 605,Reading,,1.00-12.00 cr.,,13090,10,10,tba,tba,tba,STAFF,
ACTG 350,Intermed Accounting I,,4.00 cr.,,10109,0,37,1400-1550,mw,262 LIL,Davis A,AM
BA 316,Mgmt: Valu thru People,,4.00 cr.,,10890,13,60,1400-1550,mw,211 LIL,Qiu F,!ANd
EC 510,Political Economy,,4.00 cr.,,16920,43,80,1200-1320,tr,229 MCK,Ellis C,
GEOL 515,Field Geophysics,,4.00 cr.,,16779,12,15,1500-1550,tr,101 CAS,Toomey D,!
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11293,10,20,1600-1850,r,109 KLA,Greenbowe T,A
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11893,25,49,1000-1050,f,111 LIL,tba,
ARH 611,Grad Studies Art Hist,,4.00 cr.,,10601,14,15,1400-1650,m,241 LA,Seaman K,!M
ARCH 471,Building Enclosure,,4.00 cr.,+ Lab,10426,1,15,1600-1720,t,104 PAC,tba,M
CDS 657,Augment Proc Comm Dis,,2.00 cr.,,17162,10,10,tba,tba,tba,Geisler J,
FHS 407,Sem Human Services,,2.00 cr.,,12270,15,30,1600-1750,t,106 CON,Belcher D,k
ARTD 251,Time-Based Digit Arts,,4.00 cr.,+ Lab,10673,13,19,1800-1950,mw,383 LA,tba,Ab
BI 601,Res Genetics & Develop,,1.00-16.00 cr.,,11139,10,10,tba,tba,tba,Postlethwait J,
BI 213,Gen Biol III: Populat,3,4.00 cr.,+ Lab,10973,6,18,1400-1550,w,112 HUE,Wetherwax P,a
ENVS 345,Environmental Ethics,1,4.00 cr.,+ Dis,12178,0,20,1000-1050,f,221 MCK,tba,
ENVS 403,Thesis,,1.00-8.00 cr.,,12183,10,10,tba,tba,tba,STAFF,
AEIS 610,Grad & Schol Writing I,,3.00 cr.,,10193,16,16,0900-1150,f,475 MCK,Pashby P,Aa
ARTM 609,Term Creative Proj MFA,,1.00-12.00 cr.,,10750,10,10,tba,tba,tba,STAFF,$
BI 607,Sem Curr Iss Marine Bi,,1.00 cr.,,11180,21,24,tba,,OIMB,Young C,
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,12565,15,28,1000-1050,f,47 COL,tba,
CPSY 609,Prac Child & Family,,1.00-16.00 cr.,,11695,17,18,0900-1150,w,CFC,Stormshak B,!$M
CH 623,Organic/Inorg Ch Jour,,1.00 cr.,,11441,30,30,1500-1620,w,331 KLA,Tyler D,k
HIST 608,Coll US Historiography,,5.00 cr.,,17090,11,12,1400-1650,m,375 MCK,Weisiger M,
ARCH 409,Prac Off Campus Exper,,3.00-4.00 cr.,,10385,7,10,tba,tba,tba,Poticha O,
CPSY 605,Reading,,1.00-16.00 cr.,,11685,10,10,tba,tba,tba,STAFF,M
CHN 152,Intro Chinese Pop Cul,1 IC,4.00 cr.,Lecture,11454,9,100,1200-1320,tr,240A MCK,Chan R,K
BI 406,Field Studies,,1.00-16.00 cr.,,11085,10,10,tba,tba,tba,STAFF,
ART 116,Core Interdis Lab,,4.00 cr.,,10613,0,17,1200-1450,tr,188 LA,Ryan J,!$ABM
HPHY 322,Human Physiology I,,5.00 cr.,+ Lab,12898,0,24,0800-0950,r,4 SRC,tba,
DANC 170,Modern I,,1.00 cr.,,11817,33,35,0900-0950,mw,353 GRX,tba,$A
CIS 122,Intro Prg & Prob Solv,4,4.00 cr.,Lecture,11531,25,100,0830-0950,tr,123 PAC,Wilkins D,A
ENVS 606,Field Studies,,1.00-16.00 cr.,,12204,10,10,tba,tba,tba,STAFF,
CIS 407,Sem Prog Competition,,1.00-2.00 cr.,,11570,12,15,1700-1820,m,200 DES,Wilson C,M
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,15994,14,28,1000-1050,r,47 COL,tba,
HIST 301,Modern Europe,2,4.00 cr.,,12816,34,100,1000-1120,tr,240C MCK,Luebke D,
EDST 605,Reading,,1.00-9.00 cr.,,12023,15,15,tba,tba,tba,STAFF,
ITAL 405,Reading,,1.00-6.00 cr.,,13124,10,10,tba,tba,tba,STAFF,A
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10217,14,15,1500-1550,f,201 CON,tba,
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,12577,20,28,0900-0950,f,47 COL,tba,
DAN 608,Workshop,,1.00-2.00 cr.,,11810,10,10,tba,tba,tba,Craig J,
AEIS 110,Intro Academic Writing,,4.00 cr.,,10175,18,18,1200-1350,tr,322 LIB,McMinn K,!Aa
ITAL 307,Oral Skills,,2.00 cr.,,13120,13,16,1100-1150,mw,225 FR,tba,!A
BI 557,Top Marine Envir Iss,,5.00 cr.,,11121,5,22,0830-1650,r,OIMB,Hodder J,$f
AEIS 112,Adv Academic Writing,,4.00 cr.,,10186,0,18,1000-1150,mw,122 MCK,Tasker T,!Aa
AAAP 515,Transport & Preservat,,3.00 cr.,,10037,9,15,1400-1650,f,105 PETR,Bell C,GM
GEOL 409,Practicum,,1.00-6.00 cr.,,12609,10,10,tba,tba,tba,STAFF,
BI 601,Res Tropical Disease,,1.00-16.00 cr.,,11145,10,10,tba,tba,tba,Weeks J,
CRWR 607,Sem Poetry,,5.00 cr.,,11747,14,15,1400-1650,t,111 ALDR,Hongo G,Ab
CHN 305,Hist of Chinese Lit,1 IC,4.00 cr.,Lecture,16080,52,75,1400-1520,mw,221 MCK,Wang Y,!
CIS 410,Intro Surface Vis,,4.00 cr.,,11576,6,12,1000-1120,tr,200 DES,Stevens K,!i
EC 591,Iss Econ Growth & Dev,,4.00 cr.,,16472,36,80,1600-1720,mw,302 GER,Chakraborty S,
IST 606,Special Problems,,1.00-9.00 cr.,,13100,10,10,tba,tba,tba,STAFF,
ITAL 491,Top Scrittrici,,4.00 cr.,,16026,13,15,1400-1650,w,201 CON,Hester N,!A
BE 603,Dissertation,,1.00-16.00 cr.,,10923,20,20,tba,tba,tba,STAFF,p
ARTO 199,Special Studies,,1.00-5.00 cr.,,10752,10,10,tba,tba,tba,STAFF,$
CH 551,Adv Organic/Inorg Chem,,4.00 cr.,,11399,24,24,1000-1120,tr,331 KLA,Haley M,!
DANC 175,Jazz I,,1.00 cr.,,11822,31,35,1500-1550,tr,354 GRX,tba,$A
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10221,12,15,1200-1250,f,360 CON,tba,
ARCH 606,Special Problems,,1.00-6.00 cr.,,10510,20,20,tba,tba,tba,STAFF,
ENVS 607,Sem Interdis Research,,1.00 cr.,,12205,20,20,tba,,,STAFF,M
BI 507,Sem Dev/Gen Zebrafish,,1.00 cr.,,11112,25,25,0900-0950,m,317 HUE,Guillemin K,
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12262,0,10,1500-1550,r,216 CLS,Cronce J,M
ARCH 602,Superv College Teach,,1.00-6.00 cr.,,10506,10,10,tba,tba,tba,STAFF,
ENVS 607,Sem Food Matters,,4.00 cr.,,12206,13,15,1200-1350,tr,249 COL,Wald S,
BI 601,Res Drosophila Physiol,,1.00-16.00 cr.,,11153,9,10,tba,tba,tba,Johnson E,
COLT 405,Reading,,1.00-21.00 cr.,,11657,10,10,tba,tba,tba,STAFF,c
CAS 130,SSc Col Scholar Colloq,,1.00 cr.,,11201,30,30,1000-1050,t,203 CON,Scher P,!s
AEIS 101,Intro Acad Oral Comm,,4.00 cr.,,10143,22,22,0800-0950,tr,471 MCK,tba,!Aa
BI 214,Gen Bio IV: Mechanisms,3,4.00 cr.,+ Lab,16280,0,27,1600-1850,t,13 KLA,Kelly A,b
BI 403,Thesis,,1.00 cr.,,11082,2,14,1730-1820,r,225 SGR,Stankunas K,f
AFR 196,Field Studies,,1.00-5.00 cr.,,10194,10,10,tba,tba,tba,STAFF,
BA 199,Sp St Max Business Ed,,1.00 cr.,,10870,90,90,1100-1150,f,128 CHI,Wahlstrom A,MU
EDST 458,Observ: Equal Opp I,,1.00 cr.,,16845,7,25,tba,tba,tba,Sabzalian L,!$Mh
ARCH 633,Hist of Sustain Design,,4.00 cr.,,10530,8,14,1600-1850,r,TBA,Kwok A,!
DAN 404,Internship,,1.00-4.00 cr.,,11766,10,10,tba,tba,tba,STAFF,!
BI 601,Res Organelle Biogenes,,1.00-16.00 cr.,,11128,10,10,tba,tba,tba,Barkan A,
CIS 510,Intro Surface Vis,,4.00 cr.,,11593,0,6,1000-1120,tr,200 DES,Stevens K,i
AAD 602,Superv College Teach,,1.00-5.00 cr.,,10085,10,10,tba,tba,tba,STAFF,M
CH 337,Organic Chemistry Lab,,3.00 cr.,+ Lab,11329,0,39,1000-1250,r,45 KLA,Koscho M,A
BI 401,Research,,1.00-16.00 cr.,,11029,10,10,tba,,OIMB,STAFF,
GEOL 110,People| Rocks| & Fire,3,4.00 cr.,+ Lab,15997,9,20,1300-1350,t,254 COL,tba,
CH 401,Res Excel Undrgrad Res,,1.00 cr.,,11373,7,7,1700-1750,r,107 KLA,Richmond G,k
HBRW 405,Reading,,1.00-12.00 cr.,,12705,10,10,tba,tba,tba,STAFF,
GER 603,Dissertation,,1.00-16.00 cr.,,12683,10,10,tba,tba,tba,STAFF,
GEOG 481,GIScience I,,4.00 cr.,Lecture,12513,28,80,0900-0950,mw,128 CHI,Schmidtke H,!
ARCH 450,Spatial Composition,,4.00 cr.,+ Dis,10406,0,17,1130-1220,w,TBA,tba,M
ARH 606,Field Studies,,1.00-5.00 cr.,,10597,10,10,tba,tba,tba,STAFF,
ARCH 484,Arch Design,,6.00 cr.,,10435,17,17,1300-1650,mwf,TBA,tba,!$M
CHN 399,Sp St CHNF Intensive,,5.00 cr.,Lecture,11475,12,14,1300-1350,mtwr,110 PAC,Wu J,
AEIS 110,Intro Academic Writing,,4.00 cr.,,10170,16,18,1600-1750,mw,322 LIB,Evans B,!Aa
ARTD 463,Communication Design,,4.00 cr.,,16998,10,18,0800-1050,mw,113 MR1,Salter M,!$AM
EDST 453,Equal Opp: Racism,,3.00 cr.,,16451,0,25,1600-1720,mw,189 PLC,Franklin-Phipps A,!Mh
BI 401,Res Cellular Signaling,,1.00-16.00 cr.,,11041,10,10,tba,tba,tba,O'Day P,
EDST 621,Mathematical Concepts,,4.00 cr.,,12030,15,15,1600-1950,m,146 HED,Madathil L,M
HIST 342,Top Modern Germany,,4.00 cr.,,16427,23,50,1100-1150,mwf,214 MCK,McCole J,
CH 607,Sem Physical Chemistry,,1.00-5.00 cr.,,11436,30,30,1400-1450,m,240D WIL,Prell J,k
ARCH 508,Wrk Freehand Des Media,,1.00 cr.,Lecture,10454,24,24,0830-1620,s,WSB,Pettinari J,P
ARTR 401,Research,,1.00-12.00 cr.,,10804,50,50,tba,tba,tba,STAFF,$
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10958,0,23,1000-1150,r,111 HUE,tba,a
ANTH 150,World Archaeology,2 IC,4.00 cr.,+ Dis,10203,7,15,1500-1550,r,204 CON,tba,
EDLD 622,Leading Change,,4.00 cr.,,11978,11,15,1600-1950,t,WEB,Heapes N,
CH 610,Biophysics Jour Club,,1.00 cr.,,11437,20,20,1200-1250,w,377 KLA,Harms M,k
ARCH 601,Research,,1.00-6.00 cr.,,10502,20,20,tba,tba,tba,STAFF,
BI 601,Res Devel Genetics,,1.00-16.00 cr.,,11146,10,10,tba,tba,tba,Westerfield M,
CPSY 651,Adv Indiv Coun Interv,,3.00 cr.,,11706,4,10,1730-1850,r,272 HED,Chronister K,M
HUM 409,Practicum,,1.00-5.00 cr.,,13001,5,5,tba,tba,tba,STAFF,
EDLD 609,Prac Cont Admin Licens,,1.00-3.00 cr.,,11973,10,10,tba,tba,tba,Hollenbeck K,a
HPHY 684,Kinematics of Hum Mvmt,,4.00 cr.,,16190,13,15,1000-1150,tr,303 GER,Karduna A,!
ENG 601,Research,,1.00-16.00 cr.,,12129,73,75,tba,tba,tba,STAFF,
BI 601,Res Neuro Develop,,1.00-16.00 cr.,,11134,10,10,tba,tba,tba,Eisen J,
CH 401,Res Nanometer Spectro,,1.00-16.00 cr.,,11365,4,4,tba,tba,tba,Nazin G,k
COLT 403,Thesis,,1.00-12.00 cr.,,11656,10,10,tba,tba,tba,STAFF,cM
FIN 503,Thesis,,1.00-16.00 cr.,,12374,20,20,tba,tba,tba,STAFF,p
CIS 122,Intro Prg & Prob Solv,4,4.00 cr.,+ Lab,11535,2,20,0900-0950,f,026 KLA,tba,
CFT 625,Viol| Traum| & Healing,,4.00 cr.,,11252,21,36,0900-1150,f,116 ED,Todahl J,M
ARTD 361,Intro to Animation,,4.00 cr.,,16281,0,18,1200-1450,tr,113A MR1,Ching I,!$AM
ENG 613,GTF Comp Apprentice,,1.00 cr.,,12138,11,20,tba,tba,tba,Gershow M,!M
EC 540,Public Economics,,4.00 cr.,,16245,0,80,1400-1520,tr,221 MCK,Ellis C,!G
ACTG 211,Intro Accounting I,,4.00 cr.,,10096,46,60,0800-0950,tr,162 LIL,Tomcal M,!AY
ARTM 357,Top Production,,4.00 cr.,,10734,0,15,1200-1450,tr,101C ART,Kivarkis A,!$ABM
DAN 408,Wrk Rehearsal & Perf,,1.00-3.00 cr.,,11771,25,25,1600-1750,mtwrf,353 GRX,Kennedy W,!b
ARCH 510,Passive Heat & Cooling,,4.00 cr.,,10458,0,14,0830-0950,tr,206 LA,Reynolds J,!Mj
DAN 608,Workshop,,1.00-2.00 cr.,,11812,10,10,tba,tba,tba,Cherry C,
ANTH 150,World Archaeology,2 IC,4.00 cr.,+ Dis,10207,9,15,1200-1250,f,204 CON,tba,U
CIS 532,Intro to Networks,,4.00 cr.,,11596,4,10,1200-1320,tr,246 GER,Li J,M
DAN 596,Ballet Lab,,2.00 cr.,,11800,10,10,1000-1150,tr,354 GRX,Moses F,!$a
ENVS 225,Intro to Food Studies,2 IC,4.00 cr.,+ Dis,12176,19,21,0900-0950,f,107 ESL,tba,
ARH 315,Hist of World Arch II,1,4.00 cr.,+ Dis,16215,4,25,1500-1550,t,241 LA,tba,
AAD 430,Youth Arts Curr & Meth,,4.00 cr.,,10070,0,20,tba,,WEB,Ballard C,$W
INTL 410,TransNatnl Migration,,4.00 cr.,,16538,35,40,0830-0950,tr,30 PAC,Yarris K,
ARTD 379,Intro to Video Art,,4.00 cr.,,10685,11,18,0800-1050,mw,283M LA,tba,!$M
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10218,14,15,0900-0950,f,360 CON,tba,
ENVS 503,Thesis,,1.00-16.00 cr.,,12195,20,20,tba,tba,tba,STAFF,
BI 213,Gen Biol III: Populat,3,4.00 cr.,Lecture,10971,30,108,1100-1150,mwf,100 WIL,Wetherwax P,!$c
DAN 591,Teaching Dance,,3.00 cr.,,16587,5,5,1400-1550,mw,353 GRX,Kennedy W,!
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11268,12,20,0800-1050,t,115 KLA,Greenbowe T,A
ES 101,Intro Ethnic Studies,2 AC,4.00 cr.,+ Dis,16672,19,25,1000-1050,f,240B MCK,Burke L,U
CH 601,Res Molec Struc/Dynam,,1.00-16.00 cr.,,11411,3,3,tba,tba,tba,Kellman M,k
ANTH 150,World Archaeology,2 IC,4.00 cr.,+ Dis,10204,11,15,0900-0950,f,204 CON,tba,
BI 601,Res Appl Theoretic Eco,,1.00-16.00 cr.,,11162,10,10,tba,tba,tba,Green J,
DAN 508,Wrk Rehearsal & Perf,,1.00-3.00 cr.,,11790,25,25,1600-1750,mtwrf,353 GRX,Honka R,!b
ARCH 484,Arch Design,,6.00 cr.,,10438,17,17,1300-1650,mwf,TBA,tba,!$M
GEOL 607,Sem Graduate,,1.00 cr.,,12638,47,53,1200-1250,m,200 CAS,Dorsey R,
GER 221,Postwar Germany,1 IC,4.00 cr.,+ Dis,12657,20,20,1000-1050,f,214 FR,tba,KU
ENG 207,Shakespeare,1,4.00 cr.,,12067,0,7,1400-1520,tr,248 GER,tba,
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,12573,5,28,0900-0950,w,47 COL,tba,
ENVS 605,Reading,,1.00-16.00 cr.,,12203,5,5,tba,tba,tba,STAFF,
CIS 111,Intro Web Programming,4,4.00 cr.,+ Lab,11523,19,29,1400-1450,f,026 KLA,tba,U
BI 601,Res Neuro Genetics,,1.00-16.00 cr.,,11157,10,10,tba,tba,tba,Herman T,
DAN 396,Ballet Lab,,2.00 cr.,,11763,8,25,1000-1150,tr,354 GRX,Moses F,!$a
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11281,0,0,1200-1450,w,115 KLA,Greenbowe T,A
CH 401,Res Membrane Traffic,,1.00-16.00 cr.,,11354,2,2,tba,tba,tba,Stevens T,k
ARTR 606,Special Problems,,1.00-12.00 cr.,,10816,10,10,tba,tba,tba,STAFF,$
DAN 260,Anatomy Hum Movement,3,4.00 cr.,,11757,15,48,1000-1150,tr,144 HED,Chatfield S,
BI 408,Laboratory Projects,,1.00-9.00 cr.,,11092,10,10,tba,,OIMB,STAFF,
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10219,5,15,1000-1050,f,360 CON,tba,
CINE 230,Remix Cultures,1,4.00 cr.,,11498,8,100,1200-1350,tr,123 GSH,Sirois A,Ab
CPSY 621,Lifespan Develop Psy,,3.00 cr.,,11704,40,40,0900-1150,t,107 ESL,Khurana A,M
DAN 355,Dance Production II,,1.00-2.00 cr.,,11760,9,10,tba,tba,tba,Craig J,!
BI 601,Res Yeast Mol Genetic,,1.00-16.00 cr.,,11141,10,10,tba,tba,tba,Sprague G,
AFR 405,Reading,,1.00-12.00 cr.,,10198,10,10,tba,tba,tba,STAFF,
HIST 201,Inventing America,2 AC,4.00 cr.,+ Dis,12805,1,24,1300-1350,w,373 MCK,tba,
BI 401,Res Neural Circuits,,1.00-16.00 cr.,,16174,10,10,tba,tba,tba,Miller A,
ARTD 251,Time-Based Digit Arts,,4.00 cr.,+ Lab,10672,7,20,1600-1750,mw,383 LA,tba,Ab
ACTG 570,Intro Federal Taxation,,4.00 cr.,,10125,0,44,1200-1350,mw,312 LIL,Roth C,M
AAA 408,Wrk Expl Design Career,,1.00 cr.,,17031,20,25,tba,,WEB,Dellabough K,
GEOG 441,Political Geography,IP,4.00 cr.,,12511,15,40,1000-1120,mw,175 LIL,Murphy A,!
ARH 410,Empire Aztec/Inca/Sp,,4.00 cr.,,17110,6,12,1230-1350,mw,202 CAS,tba,
GEOL 452,Neotec & Quatern Geol,,4.00 cr.,,16780,21,25,1400-1550,mf,202 CAS,Weldon R,!
DAN 408,Wrk Rehearsal & Perf,,1.00-3.00 cr.,,11774,25,25,1600-1750,mtwrf,353 GRX,Mockli S,!b
HPHY 503,Thesis,,1.00-16.00 cr.,,12966,15,15,tba,tba,tba,STAFF,
CH 411,Physical Chemistry,,4.00 cr.,,11378,24,80,0900-0950,mw,123 PAC,Guenza M,!
GEOG 490,Top GIS Earth Sys Sci,,4.00 cr.,,16949,6,8,1200-1350,tr,207 CON,Bartlein P,!
ARTC 199,Sp St Wheel Throw Lab,,2.00 cr.,,16963,1,18,1500-1750,mw 9/26-10/28,105B ART,Mc Donald I,$APV
CAS 120,Sci Col Scholar Colloq,,1.00 cr.,,11200,29,30,1600-1650,m,110 WIL,Schombert J,!s
GEOL 601,Research,,1.00-16.00 cr.,,12630,12,12,tba,tba,tba,STAFF,
ES 401,Research,,1.00-5.00 cr.,,12223,10,10,tba,tba,tba,STAFF,!M
ARH 300,Crit Appr ARH Study,,4.00 cr.,,10555,15,26,1200-1320,tr,241 LA,Cheng J,!M
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12157,10,22,1200-1250,f,142 COL,tba,A
FLR 401,Research,,1.00-6.00 cr.,,12398,10,10,tba,tba,tba,STAFF,
GEOL 401,Research,,1.00-21.00 cr.,,12601,10,10,tba,tba,tba,STAFF,
ENVS 203,Intro Env Stu: Hum,1,4.00 cr.,+ Dis,12162,20,25,0800-0850,f,199 ESL,tba,A
HPHY 322,Human Physiology I,,5.00 cr.,+ Lab,12899,0,24,1600-1750,t,4 SRC,tba,
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12159,17,22,1400-1450,f,142 COL,tba,AU
